ra,dec,mag,ci,proper,hip,spect,gl
0.2659,4.2511,7.13,0.046,,1272,A0,
0.2691,-31.4464,5.66,1.35,,1288,K2III,
0.2699,-79.8512,6.59,0.749,,1292,G6V,GJ 3021
0.2705,76.9508,6.35,-0.044,,1296,B9Vn,
0.2726,43.595,6.12,0.068,,1302,A2V,
0.2734,-70.3924,7.18,0.251,,1309,F0V,
0.2738,53.9456,7.22,1.025,,1310,G5,
0.2761,-13.4039,7.15,0.222,,1318,A8V,
0.2761,8.2402,6.12,0.919,,1319,G8II-III,
0.2776,1.8506,6.98,1.6,,1325,M5III,
0.2784,-32.6884,6.67,1.077,,1330,K0III,
0.2784,-20.2101,6.5,-0.108,,1331,B6III/IV,
0.2786,36.6298,6.99,0.05,,1333,A0,
0.2794,10.2448,6.51,1.864,,1339,M2III:,
0.2801,-78.7802,6.78,0.451,,1342,F3III,
0.281,46.6143,7.18,1.071,,1346,G5,
0.2816,-52.6511,6.84,0.655,,1349,G2V,Gl 13
0.2817,49.4619,6.52,1.775,,1352,M0,
0.2819,23.2562,6.95,1.06,,1353,K0III-IV,
0.2825,61.5332,5.74,0.898,,1354,G8III,
0.2849,38.6816,4.61,0.059,,1366,A2V,
0.2858,47.9474,5.86,-0.079,,1372,B7III,
0.2902,8.8765,6.66,0.589,,1392,F5,
0.2924,-19.0511,6.46,0.386,,1402,F3V,
0.2953,51.4331,6.11,-0.151,,1415,O9IIInn,
0.2966,1.6887,6.19,0.937,,1421,K0II,
0.2968,-1.8627,7.1,0.9,,1424,G5,
0.2972,16.331,7.21,0.477,,1427,F6V,
0.2976,20.227,6.91,1.585,,1429,M4II-III,
0.299,12.7715,6.54,0.97,,1439,G8II,
0.2997,-13.4556,6.51,0.599,,1444,G2V,GJ 9008
0.3022,3.7968,7.2,0.309,,1455,F0,
0.3026,46.2143,6.83,1.319,,1456,K0,
0.3047,-21.1385,6.69,-0.008,,1464,B9/B9.5IV,
0.3048,11.2062,6.07,1.036,,1465,K0III,
0.3051,-36.5099,6.67,1.304,,1469,K2III,
0.3051,-2.0148,7.21,1.311,,1470,K2,
0.3055,36.7852,4.51,0.054,,1473,A2V,
0.3055,44.5584,7.19,1.608,,1474,K2,
0.3058,30.3959,7.08,1.186,,1477,K3III,
0.3077,76.2765,7.18,-0.052,,1484,B9,
0.308,62.2028,6.97,1.52,,1486,K7Iab:,
0.3106,31.5172,5.88,-0.014,,1493,A0IV,
