ra,dec,mag,ci,proper,hip,spect,gl
8.8577,-61.363,7.16,0.545,,43487,F7V,
8.8581,70.2994,7.12,1.631,,43489,M0,
8.8596,-7.1772,5.55,0.15,,43496,A4m,
8.8601,-57.6336,5.59,-0.102,,43499,B8III,
8.8627,-55.8089,6.69,-0.043,,43513,B6III,
8.8639,-44.1509,6.38,-0.15,,43520,B3V,
8.8654,-40.9866,6.49,-0.106,,43528,Ap...,
8.8658,43.7266,5.15,0.971,,43531,K0III,
8.8676,4.4661,7.2,0.171,,43539,A2,
8.8694,29.8537,7.08,1.032,,43549,K0,
8.8695,42.0027,5.98,1.251,,43550,K0III,
8.8699,45.3128,5.96,1.233,,43553,K0III,
8.8712,8.0629,6.57,0.64,,43557,G0,
8.8723,-12.8087,6.83,0.553,,43565,F8IV,
8.8727,-56.2421,7.21,-0.076,,43566,B6V,
8.8734,5.3403,6.34,0.122,,43570,A5V,
8.8735,-55.3417,6.79,0.014,,43571,A0V,
8.8739,-32.5093,6.49,1.451,,43573,K2/K3III,
8.8746,28.2592,6.25,1.552,,43575,M3III,
8.8752,-13.2329,6.12,1.142,,43580,K1III,
8.8763,32.4742,5.67,0.224,,43584,A8Vms,
8.8766,28.3308,5.96,0.869,Copernicus,43587,G8V,Gl 324A
8.8774,-48.3591,5.92,-0.148,,43589,B3Vn,
8.8774,-36.5453,6.41,0.549,,43590,G8III+...,
8.878,-52.1289,6.39,0.003,,43593,A0V,
8.8799,-47.3943,6.81,-0.034,,43602,B9IV/V,
8.88,-38.7241,5.79,1.508,,43603,K5/M0III,
8.8844,-56.6495,6.02,-0.023,,43620,A0V,
8.8848,-16.9525,6.43,1.082,,43623,K1III,
8.885,59.0561,6.35,0.414,,43624,F5IV-V,
8.885,52.3902,6.92,0.498,,43625,F5,
8.8865,37.0703,7.09,0.609,,43634,G0,
8.8867,17.3685,6.87,0.404,,43635,F2,
8.8896,61.9623,5.72,0.305,,43644,F2III,
8.8915,-11.3919,6.98,1.528,,43651,K5,
8.896,13.8304,7.06,0.189,,43666,A3,
8.8969,-60.3539,5.78,-0.088,,43669,B5III,
8.8974,-47.5208,5.31,0.275,,43671,Am,
8.8974,17.5451,7.24,-0.007,,43672,A0,
8.8974,-40.4475,6.42,0.96,,43673,K0II/III+..,
8.8978,1.8243,7.23,0.345,,43676,F0,
8.8987,19.9671,6.68,0.701,,43683,F8,
8.8988,35.5383,6.14,0.059,,43685,A4III,
8.8994,8.4216,7.15,0.51,,43692,F8...,
8.9002,-42.4858,7.16,0.241,,43702,O9III,
8.9035,-43.499,6.97,1.64,,43717,K5III,
8.9041,30.5791,5.4,1.05,,43721,G7III,
8.905,-5.4345,6.01,0.661,,43726,G3V,Gl 327
8.9059,26.9238,7.01,1.596,,43729,M0III,
8.9082,-23.5218,7.23,0.546,,43736,F3/F5III,
8.9086,5.4644,7.23,1.628,,43739,K5,
8.9106,-11.3774,6.59,1.657,,43746,K5,
8.915,-58.2397,6.36,-0.086,,43763,B5V,
8.9156,26.1983,6.73,0.665,,43766,G5V,
8.916,-15.7793,7.1,1.048,,43772,K1III,
8.9162,-3.5556,6.98,0.2,,43774,A2,
8.9168,-54.6994,7.21,0.793,,43780,A6:+...,
8.9171,-34.1432,7.15,1.126,,43781,K1III,
8.9175,-60.6446,3.84,-0.104,,43783,B8III,
8.9199,-54.9658,5.7,0.481,,43797,F6V,GJ 3519
8.9201,-18.2412,5.75,1.327,,43798,K2/K3III,
8.9207,-18.2568,7.06,1.532,,43800,K2/K3III,
8.9214,-11.3717,6.86,0.168,,43805,A0,
8.922,-45.0417,6.26,-0.152,,43807,B3IV,
8.923,-3.1477,7.02,1.129,,43810,K2,
8.923,17.2313,6.28,2.975,,43811,C6II,
8.9232,5.9456,3.11,0.978,,43813,G8III-IV,
8.9237,-33.4018,7.07,0.485,,43815,F3/F5Ib,
8.9239,5.5659,6.68,1.275,,43816,K2,
8.9249,-7.9712,6.07,0.22,,43822,A3,
8.9254,-27.6819,4.87,0.142,,43825,A3IV,
8.9277,27.9275,5.23,1,,43834,G8II-III,
8.928,-2.7908,6.93,1.104,,43837,K0,
8.9318,-15.4395,6.47,1.393,,43850,K2III,
8.9321,11.626,5.44,1.462,,43851,K5III,
8.9322,-23.8183,6.39,0.157,,43853,A4V,
8.9371,24.4478,6.74,0.403,,43871,F3V,
8.9387,-52.7235,4.68,-0.115,,43878,B5V,
8.9389,-37.1225,6.85,0.616,,43880,G1V,
8.9418,40.2015,5.9,0.378,,43894,F3III,
8.9427,45.7641,6.84,0.344,,43898,F0,
8.9428,-16.7087,5.95,1.544,,43899,K3III,
8.9436,4.2366,6.13,1.001,,43902,G8II-III,
8.9437,64.6038,5.57,0.877,,43903,G6III,
8.9449,-85.6632,5.43,0.306,,43908,F0III,
8.9451,-63.0485,7.2,-0.04,,43909,B8/B9Vn,
8.9471,-17.4334,6.56,0.413,,43920,F3/F5V,
8.9472,45.6316,5.72,1.125,,43923,K1IV,
8.9489,-73.9219,6.99,1.351,,43930,K3III,
8.9491,32.9104,5.44,0.181,,43932,A7IV,
8.9491,56.8889,6.97,1.476,,43933,K2,
8.9496,-59.2293,4.93,-0.182,,43937,B2IV-V,
8.9496,-49.681,7.16,1.712,,43938,K3Ib,
8.9514,35.0234,7.17,1.022,,43949,K0,
8.9514,21.8604,7.04,0.91,,43950,G5,
8.9521,44.4093,6.93,0.917,,43954,G8III,
8.9523,17.1438,6.17,1.001,,43957,K1III,
8.9524,-71.0169,7.05,1.438,,43958,K4III,
8.9538,2.5249,6.95,0.364,,43966,F2,
8.9542,15.3228,5.22,0.149,,43970,A5III,
8.9552,32.4451,6.99,0.302,,43976,A5,
8.957,58.2188,6.89,0.168,,43984,A2,
8.958,-50.7495,7.09,0.119,,43989,B0II,
8.9598,15.5813,5.68,0.209,,44001,F0IV,
8.9612,-24.8411,7.11,1.002,,44007,K0III,
8.9617,9.3878,6.19,0.984,,44010,G8III,
8.9629,38.2589,7.1,0.476,,44014,F5,
8.9642,-18.889,7.11,0,,44017,A1IV,
8.9654,-48.5729,5.88,1.06,,44024,G8/K0II,
8.9663,-4.8593,6.68,0.386,,44030,F2,
8.9663,30.2338,6.25,0.474,,44031,F6V,
8.9689,1.5416,6.59,0.064,,44042,A2V,
8.9715,70.6547,7.08,1.217,,44052,K2,
8.9717,18.3083,6.56,0.021,,44056,A0,
8.9743,35.8026,6.65,0.012,,44064,A2V,
8.9748,11.8577,4.26,0.141,Acubens,44066,A5m,
8.9789,-16.1327,5.8,0.521,,44075,F7/F8IV/V,GJ 3523
8.9795,-64.5305,6.9,1.073,,44081,G8III,
8.9795,-16.7486,6.98,1.358,,44083,K1III,
8.9812,-47.2347,5.17,0.268,,44093,Am,
8.982,-15.9849,6.74,1.543,,44096,K4III,
8.9822,-68.1393,6.93,-0.06,,44099,B7V,
8.9835,63.4286,7.17,0.91,,44107,G5,
8.9849,63.3525,7.07,0.14,,44114,F0,
8.9863,18.1349,6.3,1.511,,44126,M4IIIvar,
8.9868,48.0418,3.12,0.223,Talitha,44127,A7IV,Gl 331A
8.9872,-16.5026,7.13,1.122,,44129,K0III,
8.9877,-28.806,6.24,0.997,,44130,G8III,
8.9891,-63.4668,6.93,0.001,,44135,A0V,
8.9901,45.7384,6.64,0.011,,44142,A0,
8.9901,-59.0837,5.17,0.417,,44143,F3V,Gl 333.1
8.9908,13.0744,6.49,1.462,,44148,K5III,
8.9924,32.4186,5.23,0.913,,44154,G9III,
8.9944,-19.208,6.19,0.461,,44162,F5IV/V,
8.9952,-27.8163,6.88,0.695,,44164,G5V,GJ 3525
8.996,-51.5038,7.19,0.148,,44168,A3V,
8.9982,-22.6915,6.96,0.43,,44175,F5V,
8.9994,26.4345,6.86,0.264,,44180,A2,
9.0003,-49.558,6.88,1.32,,44181,G5Ib:,
9.0012,82.7194,7.13,1.122,,44187,K0,
9.0015,-41.2536,4.45,0.646,,44191,Fp,
9.0017,-74.3999,6.85,-0.064,,44192,B9V,
9.0062,-43.174,6.04,-0.154,,44213,B3Vne,
9.0086,37.6044,6.21,1.572,,44231,K5,
9.0106,-51.5556,6.7,-0.148,,44245,B2V + B2V,
9.0106,-21.2159,7.11,0.363,,44246,F2III,
9.0107,41.7829,3.96,0.463,,44248,F5V,Gl 332A
9.0127,-9.1914,7.19,0.073,,44254,A0...,
9.0127,-60.9638,5.8,1.211,,44256,G8II,
9.0148,-24.1536,6.94,0.097,,44268,A0/A1V,
9.0184,-27.5157,7.19,1.727,,44281,M1III,
9.019,-68.6839,5.89,1.634,,44283,M1III,
9.0198,-26.6637,6.2,1.137,,44290,K1IIICN...,
9.0219,-64.9242,7.2,1.566,,44297,K3/K4III,
9.0225,-41.8643,5.56,-0.135,,44299,B5V,
9.0234,32.2523,5.89,0.088,,44307,A2V,
9.0254,-4.456,6.65,1.406,,44316,K5,
9.0254,5.641,6.08,1.111,,44315,F3IV+...,
9.028,39.7135,6.39,0.314,,44331,A9Vn,
9.029,-52.1887,5.23,-0.12,,44337,Ap Si,
9.0302,27.9026,6.07,0.243,,44342,A8Vn,
9.0303,-26.5635,7.25,0.498,,44343,F7V,
9.0303,5.6517,7.19,0.313,,44344,F0,
9.0328,-0.4827,5.64,1.163,,44356,K0III,
9.033,2.6712,7.1,0.3,,44359,A2,
9.0351,-39.4022,6.25,1,,44367,K1IIICN...,
9.0352,-40.5547,6.91,0.416,,44368,B0.5Ib,
9.0408,-66.3961,4,0.145,,44382,Am,Gl 333.3
9.0424,67.6296,4.74,1.542,,44390,M3III,
9.0452,82.7449,6.99,0.401,,44402,F0,
9.0456,24.4529,5.45,-0.041,,44405,A0III,
9.0458,7.2983,5.85,1.1,,44406,K3III:,
9.0477,-32.4401,6.94,-0.018,,44415,B9.5V,
9.0508,49.9482,6.87,0.078,,44421,A2,
9.0515,-53.5504,6.39,-0.074,,44423,B6V,
9.0525,-25.5042,6.72,-0.033,,44431,B8V,
9.0541,6.816,6.53,1.04,,44437,K0,
9.0544,32.8814,7.03,0.497,,44441,F6IV,
9.0545,-33.6007,7.15,-0.005,,44442,A0V+...,
9.055,-70.6067,6.93,0.305,,44445,F2IV/V,
9.0575,37.841,7.04,0.609,,44458,G0,
9.059,53.1083,6.87,0.999,,44464,K0,
9.0604,47.1565,3.57,0.007,Alkaphrah,44471,A1Vn,
9.0621,-5.1714,6.83,-0.059,,44476,A0,
9.0625,-17.4966,6.58,1.452,,44478,K3III,
9.0631,38.7421,6.7,1.356,,44481,M6III,
9.0662,71.3055,7.09,0.319,,44499,F0,
9.0668,54.2839,5.74,0.034,,44504,A2V,
9.0683,-47.4415,6.46,-0.155,,44509,B4V,
9.0692,-47.0977,3.75,1.174,,44511,K2III,
9.0694,27.8983,6.67,0.022,,44512,A1V,
9.0742,43.4419,7.22,1.357,,44535,K2III,
9.0755,-56.3436,6.81,0.4,,44542,,
9.0758,-56.341,6.89,0.04,,44545,B5V,
9.0782,-17.2368,7.16,0.358,,44556,F2III,
9.08,-57.8526,6.43,0.288,,44565,A8III,
9.0806,-46.816,6.88,0.081,,44568,A2V,
9.082,32.3768,6.46,0.241,,44574,A8V,
9.0848,-3.7809,7.23,1.288,,44594,K2,
9.0852,-29.0182,6.63,1.412,,44596,K4III,
9.0858,-72.6027,4.47,0.607,,44599,F6II-III,
9.0886,50.8238,6.77,0.411,,44607,F2,
9.09,48.5303,5.48,0.475,,44613,F6II-III,
9.0926,36.1804,7.07,0.286,,44620,F0,
9.094,-70.5385,4.66,-0.149,,44626,B2IVe,
9.0995,5.0923,4.99,1.189,,44659,K2II-III,
9.1021,-64.4998,6.37,1.361,,44665,K3III,
9.1062,68.4451,7.08,0.266,,44683,A5,
9.1088,38.4522,4.56,1.037,,44700,G8Ib-II,
9.1095,-55.8024,6.1,-0.132,,44708,B2IV-V,
9.112,59.3445,6.44,0.045,,44717,A2V,
9.1142,38.2784,6.61,0.446,,44728,F0,
9.1152,-18.2016,6.65,1.036,,44733,K1IIICN...,
9.1166,1.4627,6.16,1.648,,44738,M1III,
9.1204,51.6299,7.2,0.96,,44752,K0,
9.1207,-51.2118,6.72,1.618,,44753,K4III,
9.1208,-13.3072,7.04,0.298,,44754,A9III/IV,
9.1213,2.5816,6.66,0.425,,44755,F2,
9.1219,-57.4637,6.61,0.974,,44757,G6/G8III,
9.1228,0.6002,7.16,0.03,,44761,A0,
9.1241,22.9809,6.39,0.453,,44768,F5V,
9.1272,31.2006,6.95,1.365,,44781,K2,
9.1285,-44.6324,6.78,-0.01,,44790,B2II/III,
9.1288,-12.0207,7.15,1.468,,44793,K5,
9.1291,10.6682,5.23,-0.092,,44798,B8IIIMNp,
9.1314,25.6263,7.04,0.192,,44806,A5,
9.1333,-43.4326,2.23,1.665,Suhail,44816,K4Ib-II,
9.1333,29.6542,5.42,0.888,,44818,G8III,
9.1338,-2.4762,7.09,0.868,,44820,G5,
9.1341,-25.8585,4.62,1.594,,44824,K4/K5III,
9.1345,32.5404,6.47,0.375,,44825,F2V,
9.1349,-58.1296,6.94,0.928,,44827,G6III/IV,
9.1351,47.4237,7.09,1.175,,44830,K0,
9.1381,-41.4261,7.12,1.146,,44850,K0III,
9.1399,66.8732,5.15,1.514,,44857,K5III,
9.1435,-25.8394,6.77,0.573,,44874,G0/G1V,GJ 9287A
9.145,-8.5895,5.6,-0.057,,44883,B9.5III,
9.1454,-26.7676,6.15,0.17,,44887,A4IV,
9.1457,-16.2773,6.48,1.1,,44888,K0IIICN...,
9.1465,26.6291,5.95,0.654,,44892,G5IV,GJ 9286
9.1472,-10.7575,7.15,0.61,,44896,G0,GJ 3535
9.1475,33.8822,5.95,0.585,,44897,F9V,Gl 334.2
9.1479,51.6046,4.46,0.288,,44901,Am,GJ 3534
9.1482,-53.5934,6.81,0.15,,44904,A1/A2III,
9.1505,7.5132,6.99,0.954,,44916,K0,
9.1506,17.4697,7.19,1.207,,44918,K3III,
9.1512,-18.3285,5.73,0,,44923,A0/A1V,
9.1532,-12.3577,5.76,0.937,,44936,G6III,
9.156,22.0454,5.16,0.97,Nahn,44946,K0III,
9.1596,-29.8169,6.67,0.924,,44960,G8/K0III,
9.1599,-8.7876,5.47,1.002,,44961,G8II,
9.1625,-49.4244,6.48,0.17,,44979,A9Vn,
9.1627,-25.8031,7.04,0.077,,44982,A0V,
9.1629,11.5644,6.48,0.355,,44984,F2p,
9.1638,59.1539,7.07,0.982,,44990,K1IV,
9.1647,-47.4762,6.83,-0.128,,44996,B4V,
9.1657,-30.3654,5.59,0.179,,45001,A4IV,
9.1659,-52.0829,6.19,1.023,,45002,K1III,
9.1684,-49.2898,7.02,-0.111,,45014,B3III,
9.1695,-16.8626,6.98,0.335,,45018,F0V,
9.1725,21.9964,6.04,0.89,,45033,G8III,
9.1731,-23.1767,6.53,0.001,,45037,A0V,
9.1732,67.134,4.8,0.489,,45038,F7IV-V,Gl 335A
9.1774,30.9631,6.04,1.373,,45058,M6S,
9.1819,63.5136,4.67,0.381,,45075,Am,
9.1827,-43.2675,7.02,0.055,,45079,A0V,
9.1828,-58.9669,3.43,-0.19,,45080,B2IV,
9.184,71.3644,7.02,1.025,,45084,K0,
9.1846,-44.8679,4.99,0.222,,45085,B5Ia,
9.1869,80.8289,6.37,0.385,,45097,F2,
9.188,-62.317,3.96,-0.18,,45101,B3IV,
9.1908,8.976,6.98,1.505,,45111,K2,
9.1915,0.2913,6.78,1.324,,45114,K0,
9.1924,-57.9684,6.59,-0.134,,45121,B2.5IV,
9.1926,-46.5839,5.78,-0.218,,45122,B2IV-V,
9.1938,-54.037,6.73,-0.052,,45125,B9V,
9.1947,-39.2588,6.05,-0.108,,45127,B5III,
9.1962,44.8241,7.22,1.04,,45133,K0,
9.1974,-28.3148,7.1,1.057,,45141,K0III/IV,
9.1988,5.4686,6.34,0.328,,45150,A9IVe...,
9.199,50.4399,6.69,0.033,,45152,A0,
9.1991,18.0441,6.87,0.087,,45153,A0,
9.1992,-67.7217,7.24,0.402,,45155,F2IV,
9.1997,-19.7476,5.72,0.977,,45158,G8III,
9.2034,-76.663,6.13,1.09,,45166,K1III,
9.2036,3.867,6.14,-0.01,,45167,A0V,
9.2038,-45.8484,6.66,0.442,,45168,F3/F5V,
9.2049,14.996,6.49,0.731,,45170,G9V,Gl 337A
9.2061,-28.9476,6.76,-0.003,,45176,A0V,
9.2071,-25.6009,7.14,0.619,,45182,A2V,
9.2072,-7.1098,6.1,0.232,,45184,A3m,
9.2085,-43.6133,5.56,-0.107,,45189,B8V,
9.2115,-3.0331,7.1,1.314,,45203,K0,
9.214,56.9418,7.03,1.128,,45213,K1III-IV,
9.2141,-60.9168,6.36,-0.044,,45214,B9V,
9.2155,-59.4139,5.54,0.846,,45219,G6II,
9.2156,-31.0661,7.14,1.239,,45220,K1III,
9.22,-69.7172,1.67,0.07,Miaplacidus,45238,A2IV,
9.2219,-42.2733,6.27,1.25,,45242,K2III,
9.2227,-29.6644,6.38,1.6,,45249,K5III,
9.2236,3.8246,7.23,0.279,,45257,A2,
9.2238,-38.6165,6.31,0.018,,45259,A0V,
9.2253,-49.0945,6.61,1.52,,45264,K5III,
9.2262,-47.3384,5.92,-0.051,,45270,B9V,
9.227,21.2832,6.48,0.046,,45272,A2V,
9.2301,43.2178,5.3,-0.13,,45290,B8IIIMNp,
9.2311,-61.2798,6.99,-0.04,,45296,B9II/III,
9.2318,2.8628,7,1.531,,45299,K2,
9.2342,-14.6948,6.46,0.958,,45305,G6/G8III/IV,
9.2342,71.6558,6.52,0.962,,45306,G8III-IV,
9.2356,-44.1458,5.85,-0.113,,45314,B6IV,
9.2383,-55.5696,5.26,0.98,,45328,G8II/III,
9.239,61.4233,5.18,0.605,,45333,F9V,Gl 337.1
9.2393,-32.5569,6.61,1.4,,45335,K1III,
9.2394,2.3143,3.89,-0.06,,45336,B9.5V,
9.2397,-65.0539,7.04,1.068,,45340,K0III,
9.2401,-43.2275,5.24,-0.137,,45344,B4V+...,
9.2411,25.0115,6.92,1.259,,45349,K3III,
9.2455,-43.4648,6.8,1.132,,45367,K0III,
9.2465,-55.6409,7.16,-0.109,,45372,B5V,
9.2478,-1.5871,6.97,0.1,,45378,A2,
9.2492,-37.6024,5.85,0.827,,45386,K0/K1III+..,
9.2494,38.6093,6.75,0.367,,45389,F2,
9.2538,14.9415,5.36,1.319,,45410,K1III,
9.254,34.6335,5.98,0.839,,45412,G6III,
9.2541,-45.5555,6.25,-0.07,,45413,B8V,
9.2549,-58.3884,6.02,-0.101,,45418,B7IV,
9.2559,84.181,6.3,0.339,,45421,F2III,
9.2562,-8.4827,6.96,0.315,,45422,F0,
9.2569,-15.0249,6.32,0.013,,45424,A0V,
9.2596,-33.324,6.84,1.311,,45436,K2III,
9.2596,-57.5777,6.32,1.037,,45437,G8II,
9.2602,-38.5699,4.92,1.084,,45439,K1III,
9.2625,-37.4131,4.63,0.473,,45448,F3/F5V,Gl 339.3
9.2638,56.7414,5.28,1.568,,45455,K5III,
9.2643,-37.6293,7.06,1.281,,45459,K1/K2III,
9.2646,72.9463,5.93,0.179,,45461,F0III,
9.2678,-44.8987,6.02,0.269,,45481,A1Ib+...,
9.2698,54.0219,4.8,0.199,,45493,A5V,GJ 3541
9.27,-57.5415,4.34,1.602,,45496,M1III,
9.2731,-44.2657,5.12,1.636,,45505,K3Ib,
9.2742,18.8103,7.03,0.317,,45510,A3,
9.2743,-13.8341,6.82,0.191,,45511,A3V,
9.2778,0.729,6.73,0.443,,45521,F5,GJ 3544
9.2778,-49.5787,6.96,0.721,,45522,K0/K1III+..,
9.2782,-8.7448,5.49,-0.081,,45526,B9III,
9.2783,-6.3531,5.24,1.172,,45527,K2III,
9.2796,-84.6603,7.14,1.134,,45532,K0III,
9.2822,-40.1166,7.11,0.98,,45542,K0III,
9.2825,-11.1031,6.45,1.172,,45543,K0,
9.2825,-39.4015,5.31,1.166,,45544,K2III,
9.2828,-45.012,6.75,-0.008,,45545,A0V,
9.2837,77.0742,6.98,0.08,,45550,A0,
9.2848,-59.2752,2.21,0.189,Aspidiske,45556,A8Ib,
9.2855,-14.5741,5.83,1.049,,45559,K0III,
9.2867,1.9296,6.82,0.273,,45565,F0,
9.2871,-67.6765,6.79,1.308,,45566,K1III,
9.2881,-68.6896,5.38,0.415,,45571,F4V,Gl 340.1A
9.2883,33.5008,6.85,1.012,,45572,G5,
9.2903,-74.8943,5.28,0.021,,45581,A1V,
9.291,-74.7346,5.86,-0.024,,45585,A0V,
9.2914,-11.962,7.07,1.033,,45588,K0,
9.292,69.8735,7.09,1.084,,45591,K0,
9.292,46.8172,5.96,0.063,,45590,A1V,
9.2925,0.5549,6.96,0.174,,45592,A0,
9.2933,27.4222,6.77,0.409,,45595,F6V,
9.2951,-54.4948,6.33,1.403,,45603,K3III,
9.296,23.0788,6.97,1.154,,45606,K0,
9.2975,7.9461,7.08,0.922,,45613,G5,
9.2976,11.5011,6.4,0.095,,45614,A2IV,
9.2977,-67.0509,6.14,1.254,,45615,K2III,
9.2982,28.5605,7.2,0.992,,45617,K3V,Gl 340A
9.299,-37.3979,7.07,0.665,,45623,G3III/IV,
9.2999,-45.6363,7.21,-0.146,,45625,B3IV,
9.3016,-51.0509,5.26,-0.062,,45631,B7/B8III,
9.3069,-57.2731,6.78,1.469,,45659,K2Ib/II,
9.3072,35.3641,5.94,0.177,,45661,A8V,
9.3089,-39.0438,6.89,0.06,,45667,A1V,
9.3118,-51.5607,5.83,0.474,,45675,B7Iab,
9.3141,36.8026,3.82,0.066,,45688,A1V,
9.3143,-45.008,7.2,1.095,,45690,K0/K1II/III,
9.3161,-16.8008,6.98,0.179,,45697,A3III/IV,
9.3163,17.7054,6.61,0.487,,45699,F5,
9.3168,-47.9678,7.02,0.992,,45703,K1III,
9.3189,-22.5531,7.19,0.033,,45712,A0V,
9.3193,-56.3655,6.84,0.161,,45714,A3Vs,
9.3209,46.9438,6.91,-0.019,,45722,A0,
9.3209,26.2518,6.61,1.426,,45723,K4III,
9.3222,-58.9294,7.04,0.538,,45726,F6V,
9.3252,9.7901,7.17,0.995,,45740,K0,
9.3257,-55.1865,6.28,-0.099,,45742,B5V,
9.3259,-15.8347,5.79,1.285,,45743,K1/K2III,
9.3261,-11.315,6.62,0.086,,45744,A2Vs,
9.3296,-11.9749,4.77,0.927,,45751,G8III,
9.33,-34.1033,6.4,-0.087,,45754,B8V,
9.3309,5.216,6.62,0.259,,45758,A5,
9.332,-13.3059,7.09,1.029,,45763,G8/K0III,
9.3322,74.0166,6.42,1.05,,45764,G8III,
9.3326,-35.4981,7.09,1.008,,45766,G8/K0III,
9.3376,-45.1732,6.7,1.227,,45796,K2III,
9.3392,-9.6102,6.99,0.39,,45802,F4V,
9.3406,-29.1268,7.03,1.284,,45805,K1III,
9.3414,-9.5557,4.8,0.913,,45811,F5V+...,
9.3415,52.451,6.54,0.085,,45813,A0,
9.3416,-37.5817,6.04,1.396,,45814,K3/K4III,
9.3422,-61.993,6.91,-0.088,,45817,B5Vn,
9.3435,0.1817,6.66,1.57,,45824,M4III,
9.3439,19.0906,7.24,0.924,,45826,G5,
9.3455,51.2661,6.14,0.436,,45836,F3V,
9.3456,-31.7602,6.8,0.008,,45837,B+...,
9.3487,-15.6178,6.3,0.468,,45854,F6V,
9.3491,-62.4046,4.79,0.926,,45856,G6III,
9.3498,38.1883,6.12,0.38,,45858,F3V+...,
9.3509,34.3926,3.14,1.55,,45860,M0IIIvar,
9.3525,2.941,6.99,0.385,,45866,F2,
9.3543,15.3714,6.57,-0.003,,45874,A1V,
9.3543,39.6665,6.66,0.93,,45875,K0,
9.3551,13.1115,6.67,0.507,,45879,F8V,
9.3566,45.3701,6.4,1.305,,45888,K0,
9.3571,40.2839,7.11,0.317,,45892,A2,
9.3571,16.5983,6.98,0.28,,45894,A5,
9.3575,32.9022,6.16,1.097,,45896,K3III,
9.3582,-25.9654,4.71,1.633,,45902,M0III,
9.3609,32.2642,6.79,0.138,,45910,A0,
9.3611,-56.9034,7.22,0.99,,45911,K0III,
9.362,56.6992,5.79,1.511,,45915,M4IIIa,
9.3624,-2.7929,7.21,-0.02,,45916,B9,
9.3636,88.5703,7.1,0.174,,45919,A0,
9.3639,-55.5147,5.61,0.19,,45920,A3IVs...,
9.3642,-42.1949,5.56,1.637,,45924,M3Ib,
9.3686,-55.0107,2.47,-0.141,Markeb,45941,B2IV,
9.3733,-46.0474,5.74,0.903,,45962,G6/G8III,
9.3748,-17.894,6.97,0.402,,45968,F3III,
9.3756,49.5448,6.94,-0.026,,45974,B9+...,
9.3756,-15.2348,6.72,0.978,,45975,G8III,
9.3768,-39.7753,6.53,1.125,,45980,K2III,
9.3804,-35.5232,7.21,0.557,,45995,G0V,
9.3808,-9.8388,6.51,0.246,,45999,A5spe...,
9.385,-53.8202,6.81,1.036,,46017,G8II/III,
9.3867,-28.8339,4.71,0.892,,46026,G8III,
9.3874,-21.0377,6.83,1.574,,46027,M2III,
9.3904,-48.2869,6.27,-0.144,,46045,B5V,
9.3904,-77.8905,7.08,0.629,,46046,F8/G0V,
9.3909,-60.3023,6.3,1.477,,46049,K1/K2II/III,
9.3915,7.7137,6.82,1.589,,46053,M4III,
9.3922,25.1828,6.41,0.856,,46058,G5III-IV,
9.3943,-33.2005,6.73,0.114,,46065,A3V,
9.3944,-46.9087,6.21,-0.093,,46067,B7III,
9.3945,5.2196,6.86,0.214,,46068,A2,
9.3958,-37.7569,6.47,0.193,,46075,A1m...,
9.3972,-35.2475,6.57,0.052,,46081,A1/A2IV,
9.3973,34.5482,7.18,1.05,,46083,K0,
9.3998,-51.7371,6.05,0.528,,46093,A7Iab,
9.4015,-61.6489,5.99,1.06,,46101,K0III,
9.4022,25.9183,6.79,1.264,,46105,K2III,
9.4027,-80.7869,5.34,0.454,,46107,F3/F5IV,
9.4045,-39.4255,6.05,0.193,,46114,A6/A7III,
9.4052,23.5792,7.24,1.107,,46119,K0,
9.4062,36.5871,6.68,0.215,,46125,F0V,
9.4079,6.3501,6.73,0.513,,46134,F5,
9.4087,18.1414,7.18,0.749,,46137,G0III,
9.4103,-70.0758,6.45,1.275,,46143,K1III,
9.4109,26.1823,4.47,1.222,,46146,K2III,
9.4117,17.7106,7.13,1.508,,46149,K2,
9.4126,19.7866,6.53,0.933,,46155,G7III,
9.4129,50.2783,7.03,0.86,,46156,G5,
9.4148,-4.2829,6.92,0.436,,46165,F5,
9.4155,51.5739,6.3,0.774,,46168,G2III,
9.4189,-43.9766,6.31,1.526,,46194,M5III,
9.421,-46.9429,7.12,1.36,,46204,K2III,
9.4213,-65.2703,6.91,0.299,,46208,A8IV,
9.422,-54.4638,6.9,1.395,,46214,K2III,
9.4233,-5.1174,5.6,1.523,,46221,K5III,
9.4242,-6.4045,7.01,0.28,,46223,A3,
9.4243,-61.9505,5.77,0.137,,46225,A4V+...,
9.4257,16.5856,6.31,0.968,,46232,G9III:,
9.4268,-53.2518,6.98,0.507,,46236,F7V,
9.427,-25.3371,6.72,-0.033,,46238,B9III,
9.4289,63.9409,6.24,1.465,,46247,K2III,
9.4322,-20.7618,7.24,0.257,,46258,A9IV/V,
9.4324,-17.9474,6.95,0.983,,46259,G8III,
9.4344,-1.2349,6.58,1.417,,46273,K0,
9.4364,-30.0348,7.19,0.046,,46279,A1V,
9.4383,-53.3789,5.09,-0.102,,46283,B6V,
9.4395,-1.4641,6.01,1.313,,46288,K3III,
9.4402,-42.2512,6.67,0.435,,46290,G8:+...,
9.4411,-54.8744,7.16,-0.101,,46296,B3V,
9.4412,-40.5017,6.19,0.251,,46297,A7III,
9.4431,-33.8974,7,1.172,,46305,G6III/IV,
9.4444,-24.1679,6.91,-0.003,,46313,A0V,
9.4448,36.4575,6.99,0.458,,46321,F5,
